event_id,time,latitude,longitude,event_type,sub_event_type,event_weight,event_intensity,matching_place_name,matching_place_id
9492516,2022-09-16,48.7484,30.2218,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Umanskyi,Umanskyi
9492525,2022-09-11,48.7484,30.2218,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Umanskyi,Umanskyi
9458261,2022-08-08,48.7484,30.2218,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,1,Umanskyi,Umanskyi
9206523,2022-04-25,48.7484,30.2218,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Umanskyi,Umanskyi
8915021,2022-03-13,48.7484,30.2218,Explosions/Remote violence,Air_or_drone_strike,1,0,Umanskyi,Umanskyi
8867939,2022-02-24,48.7484,30.2218,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,1,Umanskyi,Umanskyi
8868223,2022-02-22,48.7484,30.2218,Protests,Peaceful_protest,1,0,Umanskyi,Umanskyi
9492521,2022-09-16,47.4369,35.2742,Explosions/Remote violence,Remote_explosive_or_landmine_or_IED,1,0,Vasylivskyi,Vasylivskyi
9493196,2022-09-16,47.5479,35.553000000000004,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9492542,2022-09-15,47.4369,35.2742,Battles,Armed_clash,1,0,Vasylivskyi,Vasylivskyi
9492862,2022-09-15,47.4115,35.187,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9493195,2022-09-15,47.5479,35.553000000000004,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9493536,2022-09-15,47.49,35.2802,Explosions/Remote violence,Remote_explosive_or_landmine_or_IED,1,3,Vasylivskyi,Vasylivskyi
9493556,2022-09-15,47.5867,35.356,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9492477,2022-09-14,47.5424,35.3662,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9492520,2022-09-14,47.4987,34.6574,Explosions/Remote violence,Air_or_drone_strike,1,0,Vasylivskyi,Vasylivskyi
9493194,2022-09-14,47.5479,35.553000000000004,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9493551,2022-09-14,47.6281,35.2867,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9493198,2022-09-13,47.5479,35.553000000000004,Explosions/Remote violence,Air_or_drone_strike,1,0,Vasylivskyi,Vasylivskyi
9493193,2022-09-12,47.5479,35.553000000000004,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9493197,2022-09-10,47.5479,35.553000000000004,Explosions/Remote violence,Air_or_drone_strike,1,0,Vasylivskyi,Vasylivskyi
9479117,2022-09-08,47.4987,34.6574,Explosions/Remote violence,Air_or_drone_strike,1,0,Vasylivskyi,Vasylivskyi
9480118,2022-09-08,47.4369,35.2742,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9480126,2022-09-08,47.5867,35.356,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9480132,2022-09-08,47.5479,35.553000000000004,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9479343,2022-09-07,47.4987,34.6574,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9483100,2022-09-07,47.5479,35.553000000000004,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9479381,2022-09-06,47.464,34.4305,Explosions/Remote violence,Air_or_drone_strike,1,0,Vasylivskyi,Vasylivskyi
9479435,2022-09-06,47.464,34.4305,Explosions/Remote violence,Grenade,1,0,Vasylivskyi,Vasylivskyi
9479342,2022-09-02,47.4987,34.6574,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9483174,2022-09-02,47.5867,35.356,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9479075,2022-09-01,47.4987,34.6574,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9479076,2022-09-01,47.4987,34.6574,Explosions/Remote violence,Air_or_drone_strike,1,0,Vasylivskyi,Vasylivskyi
9480138,2022-09-01,47.4369,35.2742,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9483371,2022-09-01,47.5424,35.3662,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9483377,2022-09-01,47.5867,35.356,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9479147,2022-08-31,47.464,34.4305,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9479293,2022-08-31,47.2776,34.7062,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9479332,2022-08-31,47.4369,35.2742,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9479410,2022-08-31,47.4987,34.6574,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9481728,2022-08-31,47.5424,35.3662,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9482495,2022-08-30,47.5479,35.553000000000004,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9479055,2022-08-29,47.4987,34.6574,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9479413,2022-08-29,47.4369,35.2742,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9482858,2022-08-29,47.5479,35.553000000000004,Explosions/Remote violence,Air_or_drone_strike,1,0,Vasylivskyi,Vasylivskyi
9483221,2022-08-29,47.4987,34.6574,Violence against civilians,Abduction_or_forced_disappearance,1,0,Vasylivskyi,Vasylivskyi
9479834,2022-08-28,47.4987,34.6574,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9481727,2022-08-28,47.5424,35.3662,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9482967,2022-08-28,47.5479,35.553000000000004,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9479791,2022-08-27,47.4987,34.6574,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9482869,2022-08-27,47.5867,35.356,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9482900,2022-08-26,47.4115,35.187,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9479134,2022-08-25,47.5867,35.356,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9480120,2022-08-25,47.4987,34.6574,Battles,Armed_clash,1,152,Vasylivskyi,Vasylivskyi
9482128,2022-08-25,47.5479,35.553000000000004,Explosions/Remote violence,Air_or_drone_strike,1,0,Vasylivskyi,Vasylivskyi
9479336,2022-08-24,47.4987,34.6574,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9479439,2022-08-24,47.2724,35.2224,Explosions/Remote violence,Remote_explosive_or_landmine_or_IED,1,1,Vasylivskyi,Vasylivskyi
9482855,2022-08-24,47.5479,35.553000000000004,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9483180,2022-08-24,47.4987,34.6574,Violence against civilians,Abduction_or_forced_disappearance,1,0,Vasylivskyi,Vasylivskyi
9480140,2022-08-23,47.4987,34.6574,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9479016,2022-08-22,47.4987,34.6574,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,1,Vasylivskyi,Vasylivskyi
9483103,2022-08-21,47.5479,35.553000000000004,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9479442,2022-08-20,47.4987,34.6574,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9482854,2022-08-20,47.5479,35.553000000000004,Explosions/Remote violence,Air_or_drone_strike,1,0,Vasylivskyi,Vasylivskyi
9481743,2022-08-18,47.6114,35.4482,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9482974,2022-08-18,47.5867,35.356,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9482124,2022-08-17,47.5479,35.553000000000004,Explosions/Remote violence,Air_or_drone_strike,1,0,Vasylivskyi,Vasylivskyi
9482471,2022-08-17,47.6114,35.4482,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9483030,2022-08-17,47.5867,35.356,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9483455,2022-08-15,47.4987,34.6574,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9483656,2022-08-15,47.4987,34.6574,Violence against civilians,Abduction_or_forced_disappearance,1,0,Vasylivskyi,Vasylivskyi
9479291,2022-08-14,47.4987,34.6574,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,1,Vasylivskyi,Vasylivskyi
9458092,2022-08-12,47.6114,35.4482,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9458098,2022-08-11,47.6114,35.4482,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
9478971,2022-08-11,47.4987,34.6574,Explosions/Remote violence,Shelling_or_artillery_or_missile_attack,1,0,Vasylivskyi,Vasylivskyi
