ADM2_EN_x,ADM2_EN_y
Bakhchysaraiskyi,Bakhchysaraiskyi
Bakhchysaraiskyi,Simferopolskyi
Bakhchysaraiskyi,Yaltynskyi
Bakhchysaraiskyi,Sevastopol
Bilohirskyi,Bilohirskyi
Bilohirskyi,Dzhankoiskyi
Bilohirskyi,Krasnohvardiiskyi
Bilohirskyi,Simferopolskyi
Bilohirskyi,Feodosiiskyi
Bilohirskyi,Yaltynskyi
Dzhankoiskyi,Bilohirskyi
Dzhankoiskyi,Dzhankoiskyi
Dzhankoiskyi,Krasnohvardiiskyi
Dzhankoiskyi,Krasnoperekopskyi
Yevpatoriiskyi,Yevpatoriiskyi
Yevpatoriiskyi,Krasnohvardiiskyi
Yevpatoriiskyi,Krasnoperekopskyi
Yevpatoriiskyi,Simferopolskyi
Kerchynskyi,Kerchynskyi
Kerchynskyi,Feodosiiskyi
Kerchynskyi,Henicheskyi
Krasnohvardiiskyi,Bilohirskyi
Krasnohvardiiskyi,Dzhankoiskyi
Krasnohvardiiskyi,Yevpatoriiskyi
Krasnohvardiiskyi,Krasnohvardiiskyi
Krasnohvardiiskyi,Krasnoperekopskyi
Krasnohvardiiskyi,Simferopolskyi
Krasnoperekopskyi,Dzhankoiskyi
Krasnoperekopskyi,Yevpatoriiskyi
Krasnoperekopskyi,Krasnohvardiiskyi
Krasnoperekopskyi,Krasnoperekopskyi
Krasnoperekopskyi,Kakhovskyi
Krasnoperekopskyi,Skadovskyi
Simferopolskyi,Bakhchysaraiskyi
Simferopolskyi,Bilohirskyi
Simferopolskyi,Yevpatoriiskyi
Simferopolskyi,Krasnohvardiiskyi
Simferopolskyi,Simferopolskyi
Simferopolskyi,Yaltynskyi
Feodosiiskyi,Bilohirskyi
Feodosiiskyi,Kerchynskyi
Feodosiiskyi,Feodosiiskyi
Feodosiiskyi,Yaltynskyi
Yaltynskyi,Bakhchysaraiskyi
Yaltynskyi,Bilohirskyi
Yaltynskyi,Simferopolskyi
Yaltynskyi,Feodosiiskyi
Yaltynskyi,Yaltynskyi
Vinnytskyi,Vinnytskyi
Vinnytskyi,Haisynskyi
Vinnytskyi,Zhmerynskyi
Vinnytskyi,Tulchynskyi
Vinnytskyi,Khmilnytskyi
Vinnytskyi,Berdychivskyi
Vinnytskyi,Bilotserkivskyi
Vinnytskyi,Khmelnytskyi
Vinnytskyi,Umanskyi
Haisynskyi,Vinnytskyi
Haisynskyi,Haisynskyi
Haisynskyi,Tulchynskyi
Haisynskyi,Holovanivskyi
Haisynskyi,Podilskyi
Haisynskyi,Umanskyi
Zhmerynskyi,Vinnytskyi
Zhmerynskyi,Zhmerynskyi
Zhmerynskyi,Mohyliv-Podilskyi
Zhmerynskyi,Tulchynskyi
Zhmerynskyi,Kamianets-Podilskyi
Zhmerynskyi,Khmelnytskyi
Mohyliv-Podilskyi,Zhmerynskyi
Mohyliv-Podilskyi,Mohyliv-Podilskyi
