time,refugee
2022-03-01,74797.0
2022-03-02,304011.0
2022-03-03,164517.0
2022-03-04,158888.0
2022-03-05,165928.0
2022-03-06,203361.0
2022-03-07,50359.0
2022-03-08,494524.0
2022-03-09,32966.0
2022-03-10,76491.0
2022-03-11,205050.0
2022-03-12,100737.0
2022-03-13,661920.0
2022-03-14,27014.0
2022-03-15,237721.0
2022-03-16,120401.0
2022-03-17,52462.0
2022-03-18,120769.0
2022-03-19,63940.0
2022-03-20,103846.0
2022-03-21,70717.0
2022-03-22,74882.0
2022-03-23,51670.0
2022-03-24,54410.0
2022-03-25,49477.0
2022-03-26,50801.0
2022-03-27,48983.0
2022-03-28,37733.0
2022-03-29,119526.0
2022-03-31,88184.0
2022-04-01,36883.0
2022-04-02,39895.0
2022-04-03,41402.0
2022-04-04,30794.0
2022-04-05,36055.0
2022-04-06,43046.0
2022-04-07,65814.0
2022-04-08,61035.0
2022-04-09,64612.0
2022-04-10,45172.0
2022-04-11,71279.0
2022-04-12,42466.0
2022-04-13,81577.0
2022-04-14,62570.0
2022-04-15,41558.0
2022-04-16,33909.0
2022-04-17,66721.0
2022-04-18,47994.0
2022-04-19,55569.0
2022-04-20,52509.0
2022-04-21,50186.0
2022-04-22,30943.0
2022-04-23,26382.0
2022-04-24,42822.0
2022-04-25,34448.0
2022-04-26,55556.0
2022-04-27,58080.0
2022-04-28,59311.0
2022-04-29,41131.0
2022-04-30,33346.0
2022-05-01,64421.0
2022-05-02,36520.0
2022-05-03,62466.0
2022-05-04,53391.0
2022-05-05,51454.0
2022-05-06,43891.0
